scenario,year,A_t,F_t,K_t,S0,B_t,D_T,S_T,I_T,F_T,A_next,F_next,K_next,J_year,J_cum,uB,uP_mean,uC_mean,uP_max,uC_max
A (uP only),1,0.5,0.1,1.7123548379451874,3.6890894545677906,1.0,0.274864420366386,0.9141518558260752,0.011902972456451836,0.0945034145621224,0.7137688002363861,0.03427168359339161,1.691370716704343,4.320982358542244,4.320982358542244,0.0,0.0,0.0,0.0,0.0
A (uP only),2,0.7137688002363861,0.03427168359339161,1.691370716704343,4.784827605169111,1.0,0.3680019783769183,1.3012975492845946,0.008658490947378793,0.050227049447632184,1.0160517474026014,0.018214850272604013,1.6843187552195642,5.522314167645711,9.843296526187956,0.0,0.0,0.0,0.0,0.0
A (uP only),3,1.0160517474026014,0.018214850272604013,1.6843187552195642,6.041252078911595,1.0,0.46917814015785736,1.6861897087847064,0.008979738601291724,0.0414935193055625,1.3165751376423243,0.015047633690333267,1.6766914607391823,6.877351092902722,16.720647619090677,0.0,0.0,0.0,0.0,0.0
A (uP only),4,1.3165751376423243,0.015047633690333267,1.6766914607391823,7.030134012312586,1.0,0.5474182727675511,1.9684475957721717,0.01169690486881774,0.047256862512837575,1.5369617966731093,0.017137711342607023,1.6708169184824981,7.9381558777318935,24.65880349682257,0.0,0.0,0.0,0.0,0.0
A (uP only),5,1.5369617966731093,0.017137711342607023,1.6708169184824981,7.631286117773493,1.0,0.5933733586441945,2.1127614390594087,0.01697103013108747,0.06444733815639035,1.6496418925720022,0.02337184102782032,1.6673760498396906,8.579802503476543,33.238606000299114,0.0,0.0,0.0,0.0,0.0
A (uP only),6,1.6496418925720022,0.02337184102782032,1.6673760498396906,7.9047040825784105,1.0,0.6115063197293483,2.13338225484205,0.025013261876995495,0.09396673797641561,1.6657426036817236,0.03407705771428929,1.6660203021012188,8.8673900414976,42.105996041796715,0.0,0.0,0.0,0.0,0.0
A (uP only),7,1.6657426036817236,0.03407705771428929,1.6660203021012188,7.9400693481250135,1.0,0.608901742780871,2.0595579787806475,0.034969159319242826,0.13487528260473408,1.608100687169887,0.04891255021224823,1.6662149707778797,8.896898484626112,51.00289452642283,0.0,0.0,0.0,0.0,0.0
A (uP only),8,1.608100687169887,0.04891255021224823,1.6662149707778797,7.80070628623223,1.0,0.5914187707067404,1.9271924208717481,0.044192955914904894,0.17966079229656243,1.504749799831941,0.06515402492338848,1.6675222544394277,8.736878141917634,59.739772668340464,0.0,0.0,0.0,0.0,0.0
A (uP only),9,1.504749799831941,0.06515402492338848,1.6675222544394277,7.54007574612717,1.0,0.5651876837430372,1.781211413088487,0.04949946857209963,0.2145961330812715,1.3907679836613671,0.07782333376422207,1.6694855997672855,8.447127380719692,68.18690004906016,0.0,0.0,0.0,0.0,0.0
A (uP only),10,1.3907679836613671,0.07782333376422207,1.6694855997672855,7.232528403165625,1.0,0.5379373996269402,1.6638964968507457,0.04992112016721437,0.22919934149860569,1.2991686213900113,0.0831191904340172,1.6715276781573356,8.11075214939686,76.29765219845702,0.0,0.0,0.0,0.0,0.0
A (uP only),11,1.2991686213900113,0.0831191904340172,1.6715276781573356,6.968367408477756,1.0,0.5170492636911392,1.5967967565984957,0.047258309667094794,0.2249429932857685,1.2467772153114858,0.08157562484022837,1.6730946816680845,7.826112720772626,84.12376491922964,0.0,0.0,0.0,0.0,0.0
A (uP only),12,1.2467772153114858,0.08157562484022837,1.6730946816680845,6.810135903345976,1.0,0.5062108536260709,1.5776770068344232,0.04392702069211118,0.21156224236125826,1.231848534958275,0.07672309264282988,1.6739083452948273,7.658788107874872,91.78255302710451,0.0,0.0,0.0,0.0,0.0
A (uP only),13,1.231848534958275,0.07672309264282988,1.6739083452948273,6.764565593375203,1.0,0.5045585129458008,1.5909023945711662,0.041361946005659844,0.19802895513582938,1.2421749036872274,0.07181524312313342,1.6740324249530194,7.613454336451798,99.39600736355631,0.0,0.0,0.0,0.0,0.0
A (uP only),14,1.2421749036872274,0.07181524312313342,1.6740324249530194,6.797331031268341,1.0,0.5086088209676684,1.6183201628037902,0.039977178679083084,0.18874826830866737,1.2635826680666749,0.06844960005146672,1.6737282904536002,7.651548151411898,107.04755551496821,0.0,0.0,0.0,0.0,0.0
A (uP only),15,1.2635826680666749,0.06844960005146672,1.6737282904536002,6.863551439213392,1.0,0.5146076969674128,1.6455955992614517,0.039635199539302265,0.18451425351053533,1.2848792999470708,0.06691413367531866,1.673277941010003,7.7242985552377625,114.77185407020598,0.0,0.0,0.0,0.0,0.0
A (uP only),16,1.2848792999470708,0.06691413367531866,1.673277941010003,6.928183218259776,1.0,0.5198762877332131,1.664569318391912,0.03998809562591023,0.18431989474285373,1.2996939597363164,0.06684364942646429,1.6728825157086653,7.794170602342856,122.56602467254883,0.0,0.0,0.0,0.0,0.0
A (uP only),17,1.2996939597363164,0.06684364942646429,1.6728825157086653,6.972422688094224,1.0,0.5231362652294539,1.672957853366611,0.04065413310358307,0.18653633518517476,1.3062437189546263,0.06764744202903622,1.672637890329479,7.841347200106296,130.40737187265512,0.0,0.0,0.0,0.0,0.0
A (uP only),18,1.3062437189546263,0.06764744202903622,1.672637890329479,6.991705127404212,1.0,0.5242536281067115,1.6725766829792894,0.041316519398270565,0.18955827844425094,1.3059461015201594,0.06874335040115288,1.672554052793102,7.861347412985942,138.26871928564105,0.0,0.0,0.0,0.0,0.0
A (uP only),19,1.3059461015201594,0.06874335040115288,1.672554052793102,6.990656932132237,1.0,0.523779808658274,1.6671270201036057,0.041780631102883575,0.19218178224349705,1.3016910105222261,0.06969476461756428,1.6725896037163164,7.859491919779701,146.12821120542077,0.0,0.0,0.0,0.0,0.0
