year,beetle_density,parasitoid_density,defoliation,bird_index
0,0.864571,0.150029,0.0,1.5969
1,0.486011,0.011252,0.057021,1.5832
2,0.462666,0.001066,0.028803,1.5286
3,0.608723,0.000151,0.036488,1.5597
4,0.567369,0.0,0.031979,1.6308
5,0.742166,0.0,0.018886,1.5898
6,0.680366,0.0,0.034011,1.5662
7,0.52321,6.5e-05,0.048786,1.5774
8,0.656308,0.000343,0.062847,1.6775
9,0.142757,4e-06,0.022521,1.6643
10,0.58279,0.0,0.052317,1.6451
11,0.773737,0.000129,0.057806,1.5988
12,0.441607,0.0,0.063291,1.5295
13,0.933367,0.0,0.049737,1.5997
14,1.169221,0.0,0.064895,1.5739
15,1.47017,0.0,0.062266,1.621
16,1.53612,7.5e-05,0.085261,1.6412
17,2.029657,0.0,0.103983,1.5559
18,2.215142,0.000119,0.100891,1.6559
19,1.913082,0.0,0.121933,1.5929
20,2.501577,3.6e-05,0.147218,1.5945
21,2.874133,0.000139,0.16588,1.5621
22,3.309422,0.000115,0.172548,1.5807
23,3.596965,0.0,0.220139,1.5947
24,4.244239,0.000382,0.235809,1.58
25,4.701434,0.0,0.258799,1.5742
26,4.707177,0.0,0.284686,1.5703
27,5.589459,0.0,0.319325,1.6919
28,5.69902,0.000236,0.349703,1.5797
29,6.408339,0.0,0.349199,1.6278
30,6.690379,0.0,0.37858,1.5939
31,6.917926,0.0,0.392539,1.444
32,7.656313,0.0,0.440114,1.7461
33,7.780533,0.0,0.461286,1.5901
34,7.938656,3.6e-05,0.473916,1.5624
35,8.288499,0.0,0.485726,1.6558
36,8.995284,0.0,0.533074,1.6642
37,9.104949,0.0,0.555768,1.5615
38,9.309031,0.0,0.57454,1.5484
39,9.459421,0.000138,0.575782,1.5457
40,9.808909,0.0,0.595335,1.6075
