year,A,F,K,D
0,0.800,0.100,1.712,0.000
1,0.682,0.134,1.648,0.312
2,0.591,0.158,1.601,0.287
3,0.523,0.172,1.568,0.261
4,0.475,0.179,1.545,0.238
5,0.441,0.182,1.529,0.220
6,0.417,0.183,1.518,0.206
7,0.400,0.183,1.510,0.195
8,0.388,0.182,1.505,0.187
9,0.380,0.181,1.501,0.181
10,0.374,0.180,1.498,0.177
11,0.370,0.179,1.496,0.174
12,0.367,0.178,1.495,0.172
13,0.365,0.178,1.494,0.170
14,0.364,0.177,1.493,0.169
15,0.363,0.177,1.493,0.169
16,0.362,0.177,1.492,0.168
17,0.362,0.176,1.492,0.168
18,0.361,0.176,1.492,0.167
19,0.361,0.176,1.492,0.167
20,0.361,0.176,1.492,0.167
21,0.361,0.176,1.492,0.167
22,0.361,0.176,1.492,0.167
23,0.361,0.176,1.492,0.167
24,0.361,0.176,1.492,0.167
25,0.361,0.176,1.492,0.167
26,0.361,0.176,1.492,0.167
27,0.361,0.176,1.492,0.167
28,0.361,0.176,1.492,0.167
29,0.361,0.176,1.492,0.167
30,0.361,0.176,1.492,0.167
