beta,B_index,R_P,equilibrium_class,bifurcation_type,multistable
0.005,0.5,0.48428624141849974,parasitoid_free,stable,False
0.005,0.5625,0.46067134670330856,parasitoid_free,stable,False
0.005,0.625,0.4382548436392183,parasitoid_free,stable,False
0.005,0.6875,0.41696018039557137,parasitoid_free,stable,False
0.005,0.75,0.39671588311186695,parasitoid_free,stable,False
0.005,0.8125,0.37745520385650383,parasitoid_free,stable,False
0.005,0.875,0.3591158233240149,parasitoid_free,stable,False
0.005,0.9375,0.34163954688171977,parasitoid_free,stable,False
0.005,1.0,0.32497204411974956,parasitoid_free,stable,False
0.005,1.0625,0.3090625919337079,parasitoid_free,stable,False
0.005,1.125,0.2938638426588109,parasitoid_free,stable,False
0.005,1.1875,0.2793316096062249,parasitoid_free,stable,False
0.005,1.25,0.265424662844282,parasitoid_free,stable,False
0.005,1.3125,0.2521045488757313,parasitoid_free,stable,False
0.005,1.375,0.23933541468934208,parasitoid_free,stable,False
0.005,1.4375,0.22708385382844906,parasitoid_free,stable,False
0.005,1.5,0.21531876003061853,parasitoid_free,stable,False
0.005,1.5625,0.20401119380327346,parasitoid_free,stable,False
0.005,1.625,0.193134262886653,parasitoid_free,stable,False
0.005,1.6875,0.18266300927423162,parasitoid_free,stable,False
0.005,1.75,0.17257431084386265,parasitoid_free,stable,False
0.005,1.8125,0.16284679061324656,parasitoid_free,stable,False
0.005,1.875,0.1534607355067579,parasitoid_free,stable,False
0.005,1.9375,0.14439802604619686,parasitoid_free,stable,False
0.005,2.0,0.13564207327552977,parasitoid_free,stable,False
0.006458333333333333,0.5,0.7399883865223349,parasitoid_free,stable,False
0.006458333333333333,0.5625,0.696239930156977,parasitoid_free,stable,False
0.006458333333333333,0.625,0.6551154586014497,parasitoid_free,stable,False
0.006458333333333333,0.6875,0.6164307524952634,parasitoid_free,stable,False
0.006458333333333333,0.75,0.5800153748323237,parasitoid_free,stable,False
0.006458333333333333,0.8125,0.5457116488865648,parasitoid_free,stable,False
0.006458333333333333,0.875,0.513373674101298,parasitoid_free,stable,False
0.006458333333333333,0.9375,0.48286647497874385,parasitoid_free,stable,False
0.006458333333333333,1.0,0.4540651636773004,parasitoid_free,stable,False
0.006458333333333333,1.0625,0.42685421063544526,parasitoid_free,stable,False
0.006458333333333333,1.125,0.4011267453337077,parasitoid_free,stable,False
0.006458333333333333,1.1875,0.3767839237058502,parasitoid_free,stable,False
0.006458333333333333,1.25,0.35373434968632894,parasitoid_free,stable,False
0.006458333333333333,1.3125,0.3318935312907329,parasitoid_free,stable,False
0.006458333333333333,1.375,0.3111833968465102,parasitoid_free,stable,False
0.006458333333333333,1.4375,0.2915318355323321,parasitoid_free,stable,False
0.006458333333333333,1.5,0.27287228931209856,parasitoid_free,stable,False
0.006458333333333333,1.5625,0.2551433680872468,parasitoid_free,stable,False
0.006458333333333333,1.625,0.23828850685650718,parasitoid_free,stable,False
0.006458333333333333,1.6875,0.22225564439372936,parasitoid_free,stable,False
0.006458333333333333,1.75,0.2069969370608718,parasitoid_free,stable,False
0.006458333333333333,1.8125,0.1924684918411395,parasitoid_free,stable,False
0.006458333333333333,1.875,0.17863012928086852,parasitoid_free,stable,False
