strategy,year,D_t,K_t
A,1,0.1988562904267762,2.001472373338482
A,2,0.0016140059249798865,2.04022175567571
A,3,0.0012743293890834547,2.0402891300449637
A,4,0.0016020239385836066,2.0402241322482184
A,5,0.0019326482239335556,2.0401585554405925
A,6,0.00217067863115094,2.0401113452281097
A,7,0.002315396311483884,2.040082642906386
A,8,0.0023945701645311005,2.040066940273054
A,9,0.002435213525673715,2.0400588794795493
A,10,0.0024553370852730474,2.0400548883878975
A,11,0.0024651092627296462,2.0400529502815203
A,12,0.002469806597791962,2.0400520186643165
B,1,0.1915658209157344,2.002891442728298
B,2,0.0014143402746051412,2.0402613588106946
B,3,0.0009249583333079777,2.0403584296298387
B,4,0.0010050020530151778,2.040342552329543
B,5,0.0011125914670835266,2.0403212113191294
B,6,0.001203852463686688,2.0403031093239608
B,7,0.0012744311420231447,2.040289109862076
B,8,0.0013264951537534145,2.0402787828933677
B,9,0.0013636777080504067,2.040271407714311
B,10,0.0013896249410811044,2.0402662610828863
B,11,0.0014074386205222007,2.0402627277486274
B,12,0.0014195300117078357,2.040260329430821
C,1,0.059539851159833505,2.0287647242960976
C,2,0.0005911473091911635,2.0404246449995513
C,3,0.00033579203443838895,2.04047529919293
C,4,0.0002764112741989974,2.0404870785874722
C,5,0.00025213988234634195,2.040491893336595
C,6,0.0002403400333106494,2.0404942340928547
C,7,0.0002341886742401766,2.040495454349552
C,8,0.00023087334044399972,2.040496112018871
C,9,0.0002290553378557383,2.0404964726597283
C,10,0.00022804902850741198,2.04049667228338
C,11,0.00022748914985721362,2.0404967833476664
C,12,0.000227176740469357,2.0404968453209653
