sample_id,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_star,rho_star,bifurcation_type,R_P,regime_shift,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
0,0.03324635637893454,0.002053271124772727,0.008372864335644267,0.017976901134196185,0.024890668102643718,0.17455309777493938,0.6000724115190137,0.024482738695857056,9.345285067671016,0.8635292141069202,0.6687092442198518,0.03253797418295261,51.501281237404186,1.6031397117371995,1.3316500654573715,parasitoid_free,parasitoid_free,1.6800789723262108e-06,0.15836327878027487,3.109212643180084e-54,1.5990788186220304,0.9143838940017837,fold,0.3083751700585462,1,False,0,False,0.07794965670089612,False
1,0.005150491453885882,0.0029717862897541904,0.005711924357950994,0.007477700197410331,0.0264172369147479,0.20316486750451235,0.4542896413785449,0.07216201508318695,13.516410599706102,0.6897254876320141,0.38322510870742954,0.09893036668093244,53.97975732524935,2.105041195481076,1.529935059580708,parasitoid_free,parasitoid_free,4.440892098500626e-16,2.1763319112062756,7.862309293482068e-186,2.0002182441801533,0.47296404458128205,stable,0.019015660375091673,1,False,0,True,0.5163100295660031,True
2,0.037155457110751036,0.00492700535361697,0.007851249468942651,0.006626923810851913,0.025981876214906264,0.17102594107525093,0.8969613409690023,0.026090113656842547,13.074131068150965,0.8615200002301358,0.5126905811889375,0.06024918727351091,47.30604011874796,2.2304404076794238,1.9457971164548016,coexistence,coexistence_nonfixed,0.06532606261255927,0.3766004908971129,0.3127606981360918,2.21313434357934,0.9896642324613388,neimark_sacker,278.5596124873653,0,False,0,False,0.12938145227688985,False
3,0.03496555639410967,0.004409797748526713,0.0026277190917288287,0.021902964966801407,0.015080984167234409,0.11799465058868741,0.9945790600096078,0.050845724216108945,12.603275902760746,0.8111045978023916,0.5103821878614621,0.07477167570871189,59.29197245508787,1.5675643256909528,1.4013619107344737,trivial,trivial,2.5645069263634497e-10,3.481158127893902e-10,6.970718200040074e-166,1.567564325668095,0.8349097531558213,stable,0.02503854807615048,1,False,0,False,3.758565150424464e-10,False
4,0.0169527131511945,0.005294551521746805,0.0029491561995130984,0.021550123488472014,0.016494658535975114,0.15004293812202987,0.45750144362243966,0.06799069005904362,15.85913342368429,0.5238979790226346,0.5866747027661887,0.08429608847244091,60.40232463774538,1.8983067490170003,0.7839192594880371,trivial,trivial,6.661338147750939e-16,1.7934317724996692e-21,1.2701079161322542e-214,1.8983067490169996,0.6516880736787556,stable,0.009656920643572082,1,False,0,False,6.707344653755271e-21,False
5,0.01148870049839567,0.0034319067453412134,0.005843621074719643,0.004224046803747339,0.02241468835245418,0.15909870713386182,0.6181428384041063,0.022534136751030484,7.010723621641076,0.5770655227072402,0.5401789887704735,0.021066988609614506,60.607798030355895,1.5380659325319253,0.8234299728716389,parasitoid_free,parasitoid_free,1.1772383814715455e-06,2.887956672369136e-06,1.6957717462074036e-92,1.5380658629948019,0.9084747348846801,fold,0.13784862136504059,1,False,0,False,2.9088749608207635e-06,False
6,0.025556061981225366,0.004274229999268804,0.00456861650649337,0.004760269414127945,0.046325441216674236,0.05030381078014075,0.749752288895789,0.046084435866901884,10.472763036659803,0.6919560790753319,0.5379059837148142,0.0522047511684322,62.58641088116258,2.2579301621713808,1.8580779490724881,parasitoid_free,parasitoid_free,8.881784197001252e-16,1.1201724785927676,1.2170441833615193e-71,2.218981646242768,0.6736695590148332,stable,0.22474962398558282,1,False,0,False,0.3333061275554086,False
7,0.02117135584553761,0.000401809441140493,0.0012984834634059297,0.020911223500234652,0.0334639105304256,0.06718609393269842,0.4828665684790054,0.07539356873192227,14.733193447325737,0.6942918184033684,0.651405658476166,0.07013903701986002,49.21514205475607,2.318794433012052,1.9303991660010442,parasitoid_free,parasitoid_free,1.3485135270201606e-15,0.8052401482105173,2.222024507341818e-128,2.2832254144222945,0.738807259376928,stable,0.06507123945245923,1,False,0,False,0.2203952549022976,False
8,0.0248850302702838,0.008282873389212457,0.009256617727023722,0.015149005274761679,0.027644744381187563,0.13475134151495174,0.9348212983071457,0.05789943946928952,13.969819199908557,0.7711649541201946,0.6139568636011838,0.04451022149157138,60.275101381628616,2.169941701835575,0.9662683393784076,parasitoid_free,parasitoid_free,9.829905943683374e-09,0.39522062536380115,5.123960236120303e-89,2.157945934872591,0.8631140812177338,stable,0.14276178692959235,1,False,0,False,0.12454417137749338,False
9,0.02865413683919122,0.0021000491208936164,9.189457830457538e-05,0.0182174449032634,0.03782594915460249,0.055633257368307626,0.8938353276241434,0.02059003023938629,11.645426081141869,0.7387949670814447,0.3352228053003022,0.08100824562948883,58.284896868769465,1.9564235624431148,1.05490642319158,parasitoid_free,parasitoid_free,7.85691531999658e-06,2.41442792260621e-05,2.9488915217715296e-103,1.956421872127004,0.9266685106174581,fold,0.10095830524121202,1,False,0,False,1.3442863569333702e-05,False
