strategy,uB,feasible,J,R1_resistance,R2_resilience,R3_recovery,latitude,rho_star,T_return,D_star,K_star,peak_larvae,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping,A_star,F_star,K_star_state,uP_mean_final,uC_mean_final,uP_conv_eval,uC_conv_eval,winner,scenario_key,scenario_name,scenario_value
A,0.0,True,31.529497838576848,-0.7232059299578577,0.8128308660448269,0.997217657889138,0.0,1.1512344766374734,nan,0.0024825562210015603,2.0400850787881644,0.08712263532626019,False,0,False,0.018385500618737255,False,0.005949385093403878,0.17996625441517516,2.0400850787881644,0.025285752306082033,0.0,0.01765465352218822,0.0,C,T,Extended/shortened season length,65.0
B,0.4,True,30.280393648689067,-0.6844017868057819,0.8291559328834157,0.9987889349744559,0.0,1.0930645024646617,nan,0.0013284662745976722,2.0402920077775386,0.04878061202246629,False,0,False,0.017024164695207195,False,0.0033268347309025627,0.10094543876134225,2.0402920077775386,0.019328986712478496,0.0,0.010022005915493805,0.0,C,T,Extended/shortened season length,65.0
C,0.0,True,10.57987376199829,0.5895858925336398,0.06251292064910641,0.9999806951526334,1.0,1.0092501149727375,nan,0.00025316685679014825,2.0404986554525903,0.009825043415686885,False,0,False,0.005207226989014464,False,0.0006691959387702198,0.01794850059003515,2.0404986554525903,0.004967994229825666,0.01623976415883868,0.0017285209425619739,0.00893515746356415,C,T,Extended/shortened season length,65.0
A,0.0,True,32.882991686559315,-0.6951793402538446,0.757633846587694,0.9961716594237027,0.0,1.1980589066310825,nan,0.00363777379673113,2.039881793610866,0.1322070715069328,False,0,False,0.01920594938326856,False,0.00904173647992199,0.24012772511981134,2.039881793610866,0.030212018349304783,0.0,0.02339112586869997,0.0,C,sigma_A,Reduced winter severity (beetle),0.9
B,0.4,True,31.38123903210638,-0.7077046813193324,0.8127299259378848,0.9975675064785081,0.0,1.1361529786464628,nan,0.0023346553503486873,2.040108829790454,0.08875237935472467,False,0,False,0.017713715637375362,False,0.0060610066353972685,0.16145957654435442,2.040108829790454,0.02389257158113371,0.0,0.015897986455298205,0.0,C,sigma_A,Reduced winter severity (beetle),0.9
C,0.0,True,10.705091480509703,0.4242919742689182,0.18082060646795073,0.9999596364766715,1.0,1.0138437910265365,nan,0.00036599000673203204,2.0404825060751026,0.015134885118543438,False,0,False,0.005279760400781409,False,0.0010310386140511556,0.023167194874713956,2.0404825060751026,0.005407834732247256,0.018732707057752578,0.002231128606113823,0.011819918969867699,C,sigma_A,Reduced winter severity (beetle),0.9
A,0.0,True,31.49672081543712,-0.66292902081345,0.778449225286475,0.9976703063109802,0.0,1.1539917885287265,nan,0.0026042289504046574,2.0400629811607778,0.0922862576454357,False,0,False,0.018461669735886505,False,0.006303085485652615,0.20190193993626043,2.0400629811607778,0.025787788629318284,0.0,0.018268538827669697,0.0,C,sigma_F,Reduced winter severity (parasitoid),0.7
B,0.4,True,30.24007279753243,-0.6494003138931395,0.8091780780179847,0.9988326645890531,0.0,1.0981836778231138,nan,0.0014375614486845972,2.0402722882860296,0.05323381051890551,False,0,False,0.017089707312827444,False,0.00363108316134573,0.11656145652011127,2.0402722882860296,0.019832912390561643,0.0,0.010695162125188168,0.0,C,sigma_F,Reduced winter severity (parasitoid),0.7
C,0.0,True,10.553359083470967,0.609812715610654,0.042407056290355793,0.9999802110769398,1.0,1.0098138048026557,nan,0.0002663201217768863,2.040496631177704,0.010455168833466857,False,0,False,0.005217194645402281,False,0.0007121295442053125,0.020144242199025574,2.040496631177704,0.0050455806596704,0.016642131634607548,0.0017912358461092328,0.00932688879089249,C,sigma_F,Reduced winter severity (parasitoid),0.7
A,0.0,True,30.30857865591761,-0.7113883818820566,0.8006955165499343,0.9972362829795142,0.0,1.1559933826852338,nan,0.00255761899335953,2.040074611560791,0.09133220264913341,False,0,False,0.0169648041448316,False,0.006237724864045148,0.18958985842831302,2.040074611560791,0.025600676368514305,0.0,0.0184624533499933,0.0,C,delta,Accelerated parasitoid development,0.25
