draw,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,B_index,R_P,has_coexistence,has_parasitoid_free,score
0,0.03208846169945872,0.004388784397520523,0.008585979199113825,0.021828936784602824,0.00923798065494423,0.24512447032735118,0.8566838211942118,0.06716385831661723,7.281136326755458,0.6801543751582269,0.44831920969303246,0.09340884899637417,57.87730240161329,2.32276161327083,1.1651212982409966,0.009191164619942863,False,False,12.190808835380057
1,0.027830474194531878,0.0004377532363899661,0.00020029586874216855,0.02565873972779781,0.03142143714146263,0.0949410460407249,0.8510753630911694,0.03582153184870248,10.19977909716268,0.6804125548004436,0.682125831688495,0.09027115022647385,50.57266051037887,1.7785342977793757,1.1329993622708943,0.1114553403777114,False,False,12.088544659622288
2,0.009289792838585506,0.00258113074772773,0.0040577072782113114,0.029167966599899394,0.012304270615350507,0.2214587347113543,0.4978271626426393,0.04027771693795504,12.777228173805366,0.7466136686255636,0.6819744656273997,0.04702607027806365,63.79283623956789,2.42674869275356,1.5733576129142983,0.05222505857610864,False,False,12.147774941423892
3,0.0250595729931627,0.005284911451702028,0.007636502398019261,0.024915704709259388,0.02796029848403257,0.20586793447955748,0.8776679826760267,0.055685300260452056,10.085780468959438,0.7685105759219191,0.550987131941435,0.08560741201598572,59.483269770255355,2.029018408139046,1.9460988827884451,0.020072842241154843,False,False,12.179927157758845
4,0.03669614968416092,0.0007722679321174319,0.0027256975591863773,0.01978996302064559,0.04703127837302139,0.06698935738775531,0.7775378600367773,0.0665343047884557,11.114435121032097,0.7994030874650013,0.6521965910424836,0.05492319776478498,60.89810232406035,1.5551722892037076,1.5955387732096717,0.011342232796793425,False,False,12.188657767203207
5,0.030963069812489624,0.007536688171196079,0.004651805382294835,0.005800575800493084,0.04850833324215802,0.11415006417585621,0.5201989307310557,0.07146555135158567,11.131460905854897,0.5716960219155314,0.6001858306389902,0.08136803978954724,56.07657810182117,2.3217382528417505,1.4163032677504215,0.12678946301633853,False,True,11.073210536983662
6,0.01856949552999581,0.0059577349002934,0.005138005450540101,0.021751281408199867,0.034362353738902555,0.22262336103518737,0.7539057992778877,0.05167839954332362,13.717201946728018,0.5842165845266158,0.342030445096042,0.017696325944969924,54.50665327427061,1.8767813243992317,0.7694717503450896,0.02045205095055492,False,False,12.179547949049445
7,0.01769989672966477,0.005932172601697323,0.00391950211964187,0.019839880713268563,0.03451166042256984,0.05271717233560394,0.8658013616426687,0.0797452691333235,11.092878274174456,0.5446656413527322,0.6570570277285971,0.0663469211839408,52.4449815695997,2.218659288892909,1.900241450954018,0.010029509954132383,False,False,12.189970490045868
8,0.03255979421603183,0.008336693345835824,0.00547904460184225,0.029283125595783048,0.015657510106056195,0.1793846686500435,0.4390156426473333,0.05333465639911167,10.023574830528666,0.6063863189569078,0.6946729200601888,0.045758590087379154,51.5691238231186,1.6251569904061431,0.667186701088164,0.04439023984376219,False,False,12.155609760156239
9,0.037985441869464585,0.0030713836078874015,0.002549066344143579,0.009010700174735965,0.040379189930864395,0.09334160894540983,0.8834359022866599,0.06395948879028111,10.217747333544182,0.6967334196142817,0.6636963240054107,0.08118749193205008,48.07614575615014,2.248991711948692,1.1045129341148108,1.6089734187802616,True,False,1.4089734187802616
10,0.026551703418085153,0.005742262956352919,0.005195435791899286,0.003172517620585145,0.029763157665865694,0.24366768646275905,0.6388358178408104,0.02095024425223521,8.437524127943822,0.8785801186145111,0.6584045234643268,0.052640819811677536,47.34313898830905,1.578807721655974,1.9741813073811947,3.205528427391664,True,False,3.0055284273916643
11,0.005389444809749319,0.0071891065376770095,0.003311271911509952,0.02819339391774071,0.00971711484283972,0.18328732802208852,0.8915523560837217,0.06149401459646445,15.98295234688878,0.8075164678321493,0.4167309612648269,0.03711846263575636,56.99687231875005,2.129514849064741,0.7731957815346109,0.01252184062226171,False,False,12.187478159377738
12,0.012785804063516329,0.005185799708829537,0.0007965397194640967,0.018590872163661763,0.008875417468179807,0.141057895478521,0.8006119790444113,0.027714307988858926,15.263704802741554,0.8726416696700745,0.4898268846823049,0.07405376733573667,47.86951402121053,1.6734027402289486,1.6536045594861948,0.9320568522282544,False,True,10.267943147771746
13,0.03412882642092327,0.008706456117163412,0.0021836189884262293,0.009212623066522794,0.027173439466045324,0.2006445808028633,0.8225394556079806,0.07682515936602016,6.677852769805613,0.6964380865627938,0.43535705323843743,0.06417252035017396,45.84571381106591,1.8399979496416003,0.6225497962530686,0.050657377748232604,False,True,11.149342622251767
14,0.030414411748723905,0.0001690281447864317,0.009808010677692758,0.02256431372734261,0.029489547155422263,0.0971240684534034,0.7639787023585596,0.041556290325171344,11.890002376377238,0.6044102327682577,0.3122382527279885,0.06341372647760563,62.55244582716678,1.5634830849124568,1.7753570979821893,0.023203866640818437,False,False,12.176796133359181
15,0.028945834610443963,0.004683119682175685,0.008412336697518783,0.012188634812184674,0.022721971379823413,0.08128839692222611,0.6575308826491847,0.06358036614501363,8.90873565432188,0.6348309992929176,0.3750255312034079,0.05342730165108147,63.97452562834498,2.461192681900739,1.3249247707395297,0.006420335582355063,False,False,12.193579664417644
16,0.015815413019818567,0.008798336092307709,0.0024309145215721186,0.008627352571614694,0.043061581993865915,0.07811459493736977,0.583199523382894,0.02830887126331494,11.265721496601802,0.8700067764121917,0.5137183966661217,0.03430445566718256,64.01093029837773,1.921945093839002,0.8913099943300534,0.2522984348808368,False,True,10.947701565119162
17,0.025571150553322753,0.008260661681988354,0.0011694378024724994,0.01319059943424352,0.01338180575644822,0.08205652013724743,0.40349174801782217,0.07835904163577961,7.036636165626804,0.8738071445218383,0.4705126353197764,0.07357768133753693,47.187779857686316,2.006111078492959,1.7054290750560541,0.026130990590207445,False,True,11.173869009409792
18,0.01634993344454468,0.0002714639189500456,0.0005472088744222337,0.029743271075141756,0.04384804815579104,0.1601060336906474,0.9809107595442985,0.07949215466476561,9.932544989631195,0.6278318031238699,0.5716171608261642,0.01185629863798569,56.35681684324642,2.2795104788250984,1.4048107764829432,0.006478861421806876,False,False,12.193521138578193
19,0.018103099900717443,0.0077193561819226654,0.006711431035005648,0.022147180586597762,0.02451887569222678,0.24945371359703267,0.9988557137139349,0.07686396808306846,7.922977079759017,0.7741812369949773,0.5672503414348493,0.06441856229957417,56.46254759564704,2.1556350589189504,0.8583558002685906,0.0073954533639301835,False,False,12.192604546636069
20,0.026326205840024108,0.007477733040151792,0.007806973843379723,0.010772093890520383,0.03619563856285091,0.23521455184365264,0.7081809933137606,0.07243699326075267,14.267204871715334,0.5942986203808144,0.6308031871219404,0.011904397161400222,49.304378332005676,1.8078654246113945,0.6779405052557099,0.8456941577498508,False,True,10.354305842250149
21,0.024602778016344872,0.009922588688596239,0.001966873763432365,0.01664276553001065,0.014017059886953901,0.08446562116324069,0.6205718792944636,0.03726877007815111,10.137360787289097,0.8957946472021994,0.49787558928083464,0.05391605327084655,48.63017774331057,1.8747835465910403,1.00301277368252,0.3385458472833531,False,True,10.861454152716647
22,0.03802227084591413,0.005233396291407427,0.0006571093742904399,0.011601087010216019,0.04362878428050892,0.06691174041113368,0.9912191500144221,0.05752288710445501,7.50540478720106,0.5135250849345638,0.46725008139176727,0.06000452541617985,58.875912878944945,1.5472416615355788,1.9399611300339445,0.01580224699193543,False,False,12.184197753008064
23,0.006658701991221487,0.005182221775395868,0.003748585633712942,0.009174320129476056,0.047377543696317456,0.16890030938243372,0.5673105063583798,0.02258704882983914,7.442391406269456,0.5042607875142753,0.42605864825471385,0.01231490640637345,63.88740366904867,1.9961725575650155,1.0622004320493619,0.10063993054879454,False,False,12.099360069451205
24,0.0373306857277576,0.0069281813112432675,0.0007293477622928247,0.019854852746643403,0.026263359359488536,0.21980375111645745,0.4616969596064436,0.046251492940227575,10.600446787305787,0.8635157240084035,0.6167108774182364,0.05767506137427503,47.760781246167376,2.231662641705711,0.8443858469468802,0.40509803638730246,False,True,10.794901963612698
25,0.019501602496578833,0.0012693830220007573,0.005139850358117028,0.011025550788650165,0.0319116628409381,0.13625411021891323,0.584976561254759,0.04131804368139434,6.885165504726526,0.864891006440466,0.38936287579483225,0.01108123045920072,61.34499946960351,2.3534153282550747,1.9526634147650417,0.03087220879493684,False,False,12.169127791205064
26,0.021952835369629827,0.008483262745530858,0.006735222719852371,0.019908500905175538,0.04891179145543341,0.1885580546551996,0.47814241100169436,0.051562808605120955,12.121702742744464,0.5710892970908272,0.36547171447889926,0.07741566481447267,63.92163742343274,2.044182012734275,0.9662704646712975,0.013534064380015547,False,False,12.186465935619985
27,0.025313033132548624,0.005268520358194456,0.008649616587869663,0.022838531145888533,0.02644631780332203,0.21333924572465618,0.7267808656693425,0.046244945877104655,6.0845110457914355,0.7713894827878862,0.6145254334945249,0.07353349516216523,64.24218657028806,2.2216828155012927,0.5171476862090827,0.03149957067047584,False,False,12.168500429329525
28,0.018325719582530004,0.007238058509120044,0.0032218932624597865,0.02906104682265442,0.03831559852066914,0.14163959848642604,0.5245313609596592,0.02017499643312457,13.84264848368576,0.593267317235208,0.3061846774434771,0.041003096448077855,48.40546781487916,1.549047765631155,0.852539358986704,0.11530817196811764,False,False,12.084691828031882
29,0.013869478710305597,0.005275388356464258,0.007609865587504373,0.02013854868860624,0.014187759340062944,0.05915393978447159,0.7138992646555724,0.03208471043707444,11.922972574440013,0.5155308192867272,0.6232567087388017,0.04391583977030572,51.276057144664414,2.1620718577200124,1.8657559065911682,0.12027503051417522,False,False,12.079724969485824
30,0.034324285706583,6.675122678409306e-05,0.002314482555697163,0.00608435970407356,0.03720124859843253,0.11209099584300375,0.7439847026128804,0.023113450554361824,8.913169191596523,0.8814361989744727,0.6630286303202735,0.04134373571088145,58.669127892087964,1.9527618431190148,1.2629335477479382,3.0058457071382825,True,False,2.8058457071382827
31,0.022242266625086753,0.0030336753786143022,0.0026856778120379586,0.029599242951239474,0.014895106189983874,0.05640166986297723,0.9128182658245574,0.030249475948870147,14.433629138962,0.7892953327109127,0.331682358979995,0.019328119649662495,54.05817181257859,2.2429260272694482,0.67400524470831,0.06464730338471532,False,False,12.135352696615286
32,0.03630323939536175,0.005207209501819198,0.006764041394632979,0.02106837132940329,0.03041771403943882,0.15490693988095064,0.4023835928672258,0.06490253099666807,15.689979652115957,0.8112244394568056,0.5057983938163525,0.09658168394438826,57.33375091026122,2.4769404994876414,1.6835785397552794,0.03468034467844071,False,True,11.165319655321559
33,0.012465208853416924,0.0015312904682995266,0.006642504525241269,0.021476957485646396,0.046992398104184166,0.20029799916536778,0.9561174216812209,0.07683700659464872,14.667779836561397,0.5050407934937886,0.46532836935136135,0.08407407667655888,45.453319547403794,1.6390147242991948,1.9791258325666599,0.020839369070176233,False,True,11.179160630929823
34,0.03322160282051234,0.009855233061759254,0.006823997414682107,0.02246390868430264,0.008515129691849442,0.1117784562057494,0.7370389094501717,0.0780046938629475,8.232044727744544,0.6399161795004601,0.3757360022342513,0.015103911150848729,51.499135453117134,1.7783655185979468,0.9683069147217878,0.00676466353555681,False,False,12.193235336464443
35,0.03250763079898726,0.005511719558003152,0.0024388819695343824,0.012030236574904058,0.019341058899550206,0.12803080223303281,0.8807804077854163,0.025448098399500796,9.736243927644644,0.8165291601056672,0.6034685858273448,0.06435775354422468,47.614956656336155,1.8598446831507598,1.8062072787461325,3.324220781198508,True,False,3.124220781198508
