idx,g_low_density,A_star,F_star,K_star,R_P,mu_S,mu_I,T,R_B,sigma_A,sigma_F,beta,delta,eta,mu_F,c_B,kappa,phi,K0
0,1.7766979594887458,1.7642127917881334,4.48012793349958e-21,2.0757899721050452,0.6888812558822267,0.004394679441499125,0.0343557906325081,64.02475812343513,12.760071696087435,0.7008840991692917,0.6947150691886059,0.016296680783239148,0.11624088328141366,0.9287184369999861,0.054923373741571135,0.0205017060573641,0.0017502683698156227,0.043617352763296514,2.1390207423117023
1,1.4957099003847663,1.2968349487744877,-9.039515687610385e-17,2.0956565385058936,0.949253845110173,0.006022648955604855,0.035840289075357856,53.585592425218145,13.430508697979437,0.5154874608894466,0.6345683378856098,0.03614441588687364,0.14156269641000035,0.49566359787551784,0.05739976910555239,0.022222664154970272,0.0021971959504024107,0.06808807656721241,2.1938253624122046
2,0.30231069951283457,1.315164949558222e-11,3.691306444180047e-21,3.33804011282246e-10,,0.028141705660513786,0.035419058536853655,64.49124049459598,9.053620834310191,0.8159520456440197,0.682494713515604,0.015250984157629294,0.24290451066505359,0.8217218393664828,0.05898342645640767,0.020966081440589656,700000000000.0,0.0662199197914754,1.6130743165729617
3,0.9443809532560102,-3.3102286894628065e-29,8.488974642259825e-30,1.67781596478005,,0.024274497823497027,0.044838153466983166,47.26519575645236,12.931490849499099,0.6392856492125107,0.30255391473609594,0.033977263465320345,0.13038368306220766,0.4553346648547464,0.023547276243296823,0.02103700290912114,19.729994737237448,0.03619944310312909,1.67781596478005
4,2.235885260731084,2.2354966229448094,-4.152277502848441e-20,1.5554091481307926,0.48225552794564575,0.006845255717394181,0.037959663468660844,52.79533019153308,13.238402628283833,0.7753075091596482,0.678910741224644,0.019842624939981374,0.0968325808890075,0.7593092225195963,0.06284042190802402,0.02152052266757355,0.0019548886700119063,0.09726161626956233,1.6599869997316379
5,0.3706430139007872,5.2501887189986224e-12,-1.9284095611373484e-12,2.348404482347481e-10,,0.02857979567573076,0.02677059020357019,58.67778483034755,12.752755401647175,0.5629381002860699,0.4460498216387859,0.02304362233133169,0.06206334037653695,0.7138023951305854,0.07240243043582756,0.02146876318791843,700000000000.0,0.026170971067110547,1.6949644955446805
6,1.2745608170185834,0.6634328304916043,-7.958793994325857e-21,2.083326871034389,0.34770657641930586,0.013216617600406044,0.012013940717530277,50.54196975707475,13.65326021585567,0.5347942693028496,0.48540992933251864,0.033478098401671805,0.16114855739035408,0.6846518859039527,0.06540538332905241,0.02090226364019763,0.0039951529058779725,0.09226627038253922,2.215212475558087
7,0.9156261728008277,4.98443587485558e-05,1.071822451684782e-07,0.003320771269406948,0.041650999246017346,0.005107358457605954,0.0063737269794709416,60.62178760674507,8.489810330098534,0.5482664525890404,0.59236756687743,0.021935275386547076,0.2368280346701131,0.523942099355909,0.04379534053017972,0.02136343650281342,12532.899148385854,0.040788955201717624,2.0665916076266235
8,1.6365412702469344,1.1389111861585972,-4.05992341349691e-21,1.538144459569444,0.0826717847287871,0.02070265047660485,0.04187784696798449,45.51853588034247,13.445816106184887,0.858650006205699,0.6717504255413587,0.00740582527671498,0.09326076320536754,0.9811618207648553,0.06668095333578893,0.02161615262064726,0.0036537663620521688,0.09885701624975246,1.6418509351874153
9,2.3453581647322364,2.4444449078795087,-2.207185476105368e-20,1.6627586872831512,0.24399594572977354,0.013479588605453636,0.014711927698361067,45.84011949917032,13.103661625847366,0.8816297980821683,0.6029858486516675,0.00706798805016362,0.16950763587882245,0.46750596479306117,0.0371471912290936,0.02069409355260919,0.002269498397655464,0.02452826759877631,1.6911191242799313
10,2.130896273204891,2.6090990647873356,0.18087378311673113,2.1628471603436044,21.51468525807675,0.011966327392241686,0.010064071239020235,52.04206841144339,14.011018813419224,0.8370478273796687,0.4921392758904507,0.03204696965324659,0.24915238800403078,0.5839085398886675,0.02581999755596843,0.020386918983694654,0.0016443994372243032,0.03972316361687747,2.222970286175812
11,1.4530082035819265,1.2524256858678633,-3.3233273579025e-21,2.339657059755616,0.06517640791223898,0.01350738101550614,0.042513627661656915,55.52603802032681,13.33483923989746,0.7840276003966977,0.5931582158101717,0.008728035102537326,0.19142350931562152,0.833866237090872,0.06864401741679532,0.021708135023299668,0.0025007012146349584,0.05917669522753763,2.4350590961800673
12,0.667367338835728,2.550093154787175e-12,1.426932658460486e-26,4.19318434681782e-10,,0.027016367043062425,0.019263411832790272,56.615986309756835,15.203963714559961,0.702135107459397,0.5266137050940696,0.0272163904914066,0.051568109666058064,0.8272870591412387,0.025648508043932046,0.02145106138626383,700000000000.0,0.0423766206396697,1.6108536756971796
13,1.8664381311332074,1.6546191811508602,0.0611204134521937,1.6884062765976782,3.04003424910943,0.0038442035451855157,0.010808693312797886,52.844527652327585,13.757064229887812,0.5161308834303145,0.3803192558463388,0.03687958805969997,0.07711013501892003,0.9697819038056745,0.06682283120164481,0.020960110312861446,0.0019552513305105225,0.09780386557101897,1.803286928050765
14,0.5135272055330058,5.306073585796937e-12,-7.33536652075005e-07,6.144603890721227e-10,,0.016488987395307443,0.018832531397210174,49.829921728214075,6.113301133565883,0.5538048945218268,0.6753654155459178,0.018205493722882958,0.23641688284979434,0.6540884970747955,0.04348631913080915,0.02084790316144467,700000000000.0,0.04285868963979152,1.8406203644938164
15,0.23500211685108144,nan,-4.32794480820928e-15,nan,,0.024650447051466785,0.047429655092760606,64.14844460680621,6.20442408560199,0.6961327594205584,0.3150088397504635,0.02900830620288786,0.21087090927911895,0.9912299145496659,0.05271316875026193,0.020427992773341157,700000000000.0,0.05454578097444235,2.481499809172072
16,0.949436144707894,4.999997948912956e-13,5.000000025304093e-13,2.492942381640336,,0.011347036471670374,0.040484375119602595,50.46176774734453,8.945088490422503,0.5608851230849681,0.437237023895841,0.010843591772096674,0.19053132852001897,0.4441963290221991,0.07191691891482502,0.021282667244350746,31.238363281483995,0.08501127826074571,2.4929423823729016
17,0.8399313545990941,8.747405022546673e-10,1.8902351049048474e-17,1.4556983809447829e-12,,0.01111046415374099,0.037803952392622686,59.406622970320825,7.956069363015847,0.7022863252672432,0.5573505754838959,0.006812245621324706,0.1961320143381547,0.5026799684581317,0.04591275562407693,0.020394228362387534,163300735885.77985,0.0628895780883746,2.057670124220096
18,2.269692521993812,2.6004365979731716,-4.4460814541367105e-21,1.7857896642820184,0.3513967285834218,0.004712794156790242,0.027171597069399957,56.5867009081899,11.56519020136039,0.8735666849333767,0.5321805997713548,0.01675561586442287,0.07669879443563721,0.7462955338622195,0.051833700109735495,0.02124862528481368,0.001825987501755763,0.050004425896193735,1.847663189136149
19,0.9150252946272595,0.0015356146266770091,1.1805415762452611e-62,3.3411974055599094e-05,0.09530676398331021,0.010530941992683583,0.03761515320161653,59.680308679243595,11.977655405706974,0.5097509310913783,0.37192214798330436,0.00785401885133891,0.1092194234929391,0.49943635474100867,0.02281511951086356,0.020935017089024965,13389.237242063125,0.04469642540885365,2.2989019117983216
20,1.312826028227971,0.6186642004109618,-1.0418533887509842e-20,1.7278856602218973,0.17248476354203163,0.01497413136849646,0.03299564283057802,47.90396121013894,14.114092589765733,0.5227081689503368,0.38443839153976,0.03312589604174638,0.11434063779820346,0.925545069150854,0.07938121494574227,0.020512095897924285,0.004515911251234496,0.07536398424373011,1.8175469008900411
21,1.2575521257461058,0.5560386436934508,-1.151848074017489e-20,1.9163022117678004,0.03078453116188268,0.005948796161324029,0.005193787644936504,63.83520707946788,10.401246489361082,0.6522822252729538,0.3749359415552378,0.031043942625793772,0.06650046900397377,0.42184884443423576,0.0674021683988931,0.020072838986871667,0.004818680836603289,0.07396760936896979,2.0140898065400146
22,1.9248782940687343,1.9638107902224542,0.04707497756201945,1.942094664140584,1.224540887624922,0.0075983446189762,0.0050113082364983234,52.49386825914952,11.623477458788743,0.7449429432367792,0.5244087965835093,0.015935091438259937,0.18517217768730587,0.8437543000846317,0.043112906212993324,0.02059790898210242,0.002179345501146243,0.047838914095604736,2.006736366986189
23,1.3691168191166243,0.8768654299891439,0.0013023484016800695,2.183254276179013,1.0522845154611036,0.01447708252090207,0.007605024073000153,63.30846786841664,15.82580192327408,0.7898279675515418,0.4708363482661205,0.03998805766870503,0.13766505210947752,0.5208460747008816,0.0465381847329716,0.020117513877236683,0.0026670770261772304,0.07259004493823701,2.2934900984454414
24,2.0090090305555393,2.674584616008474,6.929171630115238e-21,2.2970499336631907,0.6894303779356149,0.009160546066385486,0.01544753093223225,45.56481298471042,14.033909048220831,0.5958848033702528,0.6754639391914082,0.020413374131009555,0.16924611403949424,0.5476127011141841,0.07802271584673076,0.02174345932125773,0.001554623728170643,0.08667488322976036,2.435989238029691
25,0.5954808474958972,1.5779533235615872e-10,4.2242756221184105e-19,1.0985033474064981e-12,,0.017585372904509122,0.019803355072102843,61.563558041017046,8.134507423977718,0.7680542808826039,0.49052879694895657,0.006717145015734669,0.1339464043515134,0.4649650941166453,0.07442098414082966,0.020228823951221737,700000000000.0,0.07470055947282067,2.154406490966975
